fabric_id,fabric_name,category,origin_type,sustainability_score,water_efficiency,carbon_score,recyclability,biodegradability,breathability,comfort,durability,stretchability,moisture_management,thermal_insulation,water_resistance,affordability_score,suitability_hot,suitability_hot_humid,suitability_moderate,suitability_cold,suitability_rainy,typical_applications,advantages,limitations,care_instructions
FAB_01,Organic Cotton,Natural Plant,Natural,88,68,82,90,95,92,94,75,45,70,40,25,65,95,88,90,45,30,T-shirts; Shirts; Children's wear; Underwear; Bedding,Pesticide-free; hypoallergenic; highly breathable; soft hand-feel,Higher price than conventional cotton; prone to moderate wrinkling,Machine wash cold; gentle cycle; tumble dry low
FAB_02,Conventional Cotton,Natural Plant,Natural,42,25,48,85,90,90,90,74,45,68,42,22,90,90,82,88,45,25,Everyday casual wear; T-shirts; Jeans; Towels,Affordable; accessible; comfortable; breathable,Heavy pesticide and excessive water irrigation footprint,Machine wash warm; tumble dry medium
FAB_03,Linen,Natural Plant,Natural,92,88,90,92,98,98,82,88,25,85,30,30,55,98,96,85,35,40,Summer shirts; Trousers; Dresses; Suits; Saree,Exceptionally cool; low water footprint; very durable,Wrinkles easily; initial crispness requires wash break-in,Machine wash cold or dry clean; line dry; iron damp
FAB_04,Hemp,Natural Plant,Natural,94,92,95,90,96,92,76,98,20,82,55,42,50,92,85,90,65,50,Jeans; Trousers; Jackets; Heavy shirts; Canvas shoes,Minimal water needed; naturally pest-resistant; ultra-durable; carbon negative crop,Higher stiffness when raw; lower stretchability,Gentle wash with mild detergent; air dry recommended
FAB_05,Tencel / Lyocell,Regenerated Cellulose,Regenerated,90,85,88,88,94,90,96,80,50,90,45,35,58,94,92,92,48,35,Dresses; Shirts; Activewear; Luxury loungewear; Saree,Closed-loop solvent process; silky smooth; moisture-absorbing,Susceptible to surface fibrillation if washed harshly,Machine wash gentle cold; line dry in shade
FAB_06,Modal,Regenerated Cellulose,Regenerated,82,80,78,82,90,88,96,72,55,86,42,30,68,90,88,90,42,30,Underwear; Sleepwear; Soft t-shirts; Lightweight dresses,Buttery soft drape; color-fast; high breathability,Lower wet strength than Tencel; prone to pilling if frictioned,Wash inside out with delicate detergent; lay flat
FAB_07,Bamboo Viscose,Regenerated Cellulose,Regenerated,65,72,62,70,82,88,92,68,52,85,44,28,75,88,85,88,40,28,T-shirts; Loungewear; Socks; Baby clothing,Silky texture; antibacterial properties; breathable,Chemical-intensive viscose processing (CS2 chemical usage),Gentle wash cycle; avoid bleach and harsh spin
FAB_08,Recycled Polyester,Synthetic,Synthetic,78,92,80,88,15,62,70,92,75,92,65,78,80,60,55,75,78,85,Sportswear; Fleece; Jackets; Backpacks; Performance activewear,Prevents plastic bottles from landfills; high strength; quick dry,Sheds synthetic microplastics during laundering; non-biodegradable,Wash with microplastic wash bag; cold water; line dry
FAB_09,Conventional Polyester,Synthetic,Synthetic,28,85,32,70,10,55,65,90,75,90,65,76,95,52,48,70,75,82,Fast fashion; Budget sportswear; Lining; Outerwear,Inexpensive; wrinkle-resistant; durable; high stretch,Fossil fuel based; high carbon footprint; persistent microplastics,Machine wash cold; avoid high heat drying
FAB_10,Recycled Nylon,Synthetic,Synthetic,76,90,78,85,15,60,68,95,80,88,68,85,72,55,50,72,80,90,Rain jackets; Swimwear; Outerwear shells; Activewear leggings,Repurposes discarded fishing nets and carpet waste; ultra-tough,Microfiber shedding; requires specialized chemical recycling,Hand wash or gentle cycle; air dry
FAB_11,Virgin Wool,Natural Animal,Natural,60,55,52,88,92,75,80,85,60,82,96,65,40,30,25,80,98,62,Winter coats; Sweaters; Suits; Cold-weather garments,Superior thermal insulation; natural odor resistance; biodegradable,High methane emissions from sheep; requires ethical shearing audit (mulesing-free),Hand wash in cool water or dry clean; dry flat
FAB_12,Recycled Wool,Natural Animal,Natural,86,88,85,90,92,72,78,82,55,80,94,62,60,30,25,78,96,60,Winter jackets; Overcoats; Blankets; Tailored trousers,Low water and carbon footprint; saves raw wool fiber; excellent warmth,Slightly shorter fiber length; may require gentle blending for softness,Dry clean or delicate hand wash; avoid agitation
FAB_13,Silk,Natural Animal,Natural,62,60,58,75,90,82,96,70,40,75,60,40,20,78,72,88,62,35,Saree; Formal evening dresses; Ties; Luxury shirts,Incomparable natural sheen; hypoallergenic; soft thermal regulator,High cost; animal welfare concerns (sericulture); delicate care,Dry clean only or delicate hand wash; steam iron
FAB_14,Recycled Cotton,Natural Plant,Natural,90,95,92,85,92,88,86,72,40,68,45,28,78,90,84,88,48,30,Casual t-shirts; Tote bags; Casual denim; Sweaters,Virtually zero water irrigation footprint; diverts garment waste,Shorter fiber length; usually blended with virgin organic fibers,Machine wash cold with gentle spin; low heat tumble
FAB_15,Ramie,Natural Plant,Natural,89,86,88,88,96,92,75,92,20,85,32,35,52,94,92,85,35,38,Summer shirts; Blouses; Lightweight dresses; Table linen,Strongest natural fiber; high resistance to bacteria and mildew; cool,Prone to creasing; brittle fiber structure if over-spun,Hand wash or delicate machine wash; lay flat to dry
FAB_16,Jute,Natural Plant,Natural,91,92,94,92,98,75,55,90,15,65,50,45,85,65,55,75,60,50,Jackets; Outer bags; Heavy workwear accents; Shoes,Fast-growing; rain-fed crop; highly biodegradable; strong,Coarse texture against direct bare skin; limited drape,Spot clean or dry clean; do not submerge in soaking water
FAB_17,Banana Fiber,Next-Gen Bio-Material,Natural,95,95,96,90,98,90,80,88,30,86,40,45,55,92,90,86,45,45,Shirts; Saree; Summer dresses; Accessories; Kimonos,Agricultural waste valorization; highly breathable; high tensile strength,Niche production scale; varying batch consistency,Hand wash cold with eco-friendly detergent; shade dry
FAB_18,Seaweed Fiber (SeaCell),Next-Gen Bio-Material,Regenerated,93,92,94,88,96,92,94,76,48,90,48,35,45,92,90,90,52,38,Activewear; Loungewear; Undergarments; Skincare textiles,Rich in minerals and antioxidants; soothing to skin; carbon sink raw material,Premium price point; limited commercial availability,Delicate machine wash; no chlorine bleach; hang dry
FAB_19,Piñatex (Pineapple Leaf),Next-Gen Bio-Material,Natural,92,96,94,85,92,60,68,90,30,55,70,82,48,60,50,75,80,85,Jackets; Bags; Shoes; Belts; Trim accents,Cruelty-free vegan leather alternative; upcycled agricultural waste,Less breathable than woven textiles; not suited for sheer drape garments,Wipe clean with damp cloth; apply natural wax protection
FAB_20,Recycled Denim,Natural Plant,Natural,88,92,90,88,90,75,78,94,35,62,60,45,72,75,68,88,72,55,Jeans; Denim jackets; Vests; Rugged casual wear,Reduces cotton waste; eliminates indigo dyeing chemical footprint; iconic look,Heavyweight; stiffer initial hand-feel,Wash inside out in cold water; air dry
FAB_21,Conventional Nylon,Synthetic,Synthetic,30,80,35,68,10,58,68,94,82,85,62,82,90,55,48,70,75,85,Tights; Budget outerwear; Swimwear; Umbrella shells,High tensile strength; elastic recovery; abrasion resistance,Petrochemical dependent; greenhouse gas intensive (N2O byproduct),Machine wash warm; line dry; avoid bleach
FAB_22,Organic Peace Silk,Natural Animal,Natural,84,72,78,82,95,85,95,72,42,78,62,42,32,80,75,88,65,38,High-end Saree; Wedding dress; Luxury evening shirts,Ahimsa silk (non-violent and silkworms emerge naturally); organic mulberry,High luxury pricing; delicate hand-care requirement,Dry clean or gentle hand wash in cold water
